Age,Household Income,Household Occupancy Type,Eating Out Frequency (Monthly),Preferred Meal Time,Ordering Style,Average Spend per Visit (GBP),Loyalty Program Usage,Total Visits in Last 6 Months,Dining Motivation,Food Values,Openness to New Cuisines,Customer Review
66,Low,Single,7,Late-night,Takeout,46.49,Yes,14,Convenience,Locally Sourced,Medium,I loved the cozy atmosphere and the fresh ingredients.
23,Low,Multigenerational,0,Breakfast,Dine-in,57.76,Yes,11,Convenience,Healthy,Low,A perfect spot for a quiet meal and good conversation.
23,High,Multigenerational,6,Dinner,Dine-in,9.93,Yes,8,Convenience,Comfort Food,Low,"Affordable, delicious, and a true neighborhood gem."
67,Medium,Couple,2,Dinner,Dine-in,56.67,No,12,Social Aspect,Healthy,Medium,"The wait was a bit long, but the food made up for it."
56,Low,Family with Kids,6,Dinner,Takeout,27.66,No,9,Social Aspect,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
21,Medium,Single,9,Lunch,Dine-in,21.88,No,37,Social Aspect,Comfort Food,Medium,Great experience! Will definitely be coming back soon.
33,High,Family with Kids,3,Late-night,Dine-in,37.45,No,4,Social Aspect,Locally Sourced,Medium,"Not my usual spot, but I was pleasantly surprised."
61,Medium,Family with Kids,8,Breakfast,Dine-in,20.82,No,12,Social Aspect,Experimental,High,Felt like I was eating at a friend's house. So comforting.
20,Medium,Single,10,Breakfast,Dine-in,43.06,No,29,Convenience,Healthy,High,A perfect spot for a quiet meal and good conversation.
25,Low,Multigenerational,9,Lunch,Takeout,53.4,No,2,Taste,Locally Sourced,High,The portions were generous and the flavors authentic.
34,High,Multigenerational,5,Lunch,Delivery,14.47,No,0,Tradition,Comfort Food,Low,Great experience! Will definitely be coming back soon.
46,Medium,Family with Kids,3,Late-night,Takeout,47.45,No,21,Tradition,Experimental,Medium,"The wait was a bit long, but the food made up for it."
36,High,Couple,0,Lunch,Dine-in,5.84,Yes,24,Taste,Experimental,Low,Felt like I was eating at a friend's house. So comforting.
18,Low,Multigenerational,6,Lunch,Takeout,13.48,Yes,10,Taste,Locally Sourced,High,Great experience! Will definitely be coming back soon.
70,Low,Multigenerational,1,Lunch,Delivery,56.5,Yes,32,Convenience,Experimental,Medium,The service was friendly and the food felt homemade.
59,High,Couple,7,Lunch,Delivery,25.75,Yes,8,Taste,Comfort Food,Medium,Great experience! Will definitely be coming back soon.
43,Medium,Single,12,Lunch,Takeout,38.75,No,38,Convenience,Healthy,Medium,"The wait was a bit long, but the food made up for it."
49,High,Single,9,Breakfast,Dine-in,22.0,Yes,11,Taste,Locally Sourced,Low,Felt like I was eating at a friend's house. So comforting.
38,Medium,Single,7,Breakfast,Delivery,54.82,No,34,Taste,Locally Sourced,High,I loved the cozy atmosphere and the fresh ingredients.
32,Low,Couple,11,Breakfast,Delivery,6.51,Yes,9,Social Aspect,Locally Sourced,Medium,Great experience! Will definitely be coming back soon.
26,Medium,Family with Kids,3,Late-night,Delivery,22.65,No,36,Taste,Comfort Food,Low,"Not my usual spot, but I was pleasantly surprised."
53,Medium,Family with Kids,8,Dinner,Dine-in,5.3,Yes,17,Convenience,Experimental,High,"Not my usual spot, but I was pleasantly surprised."
64,Medium,Couple,6,Late-night,Delivery,41.6,Yes,28,Taste,Comfort Food,Low,"The wait was a bit long, but the food made up for it."
45,Low,Multigenerational,4,Late-night,Dine-in,51.91,No,18,Taste,Locally Sourced,Medium,A perfect spot for a quiet meal and good conversation.
31,Low,Multigenerational,1,Dinner,Dine-in,47.95,No,29,Taste,Comfort Food,Medium,"Not my usual spot, but I was pleasantly surprised."
41,Low,Multigenerational,11,Dinner,Dine-in,40.55,No,2,Social Aspect,Locally Sourced,Low,The portions were generous and the flavors authentic.
58,Low,Family with Kids,3,Breakfast,Delivery,53.2,No,0,Taste,Experimental,Medium,"Not my usual spot, but I was pleasantly surprised."
31,Medium,Multigenerational,12,Late-night,Delivery,51.14,Yes,34,Social Aspect,Healthy,Medium,A perfect spot for a quiet meal and good conversation.
45,High,Multigenerational,10,Late-night,Dine-in,11.3,Yes,23,Convenience,Locally Sourced,Low,Felt like I was eating at a friend's house. So comforting.
57,Low,Multigenerational,11,Breakfast,Delivery,9.55,No,8,Convenience,Experimental,Low,"Affordable, delicious, and a true neighborhood gem."
38,Low,Multigenerational,13,Breakfast,Dine-in,16.0,No,38,Social Aspect,Healthy,Medium,Felt like I was eating at a friend's house. So comforting.
57,Medium,Single,9,Late-night,Takeout,12.87,No,29,Social Aspect,Experimental,Low,The portions were generous and the flavors authentic.
57,Medium,Multigenerational,0,Lunch,Delivery,22.2,No,37,Tradition,Comfort Food,Low,Great experience! Will definitely be coming back soon.
38,Medium,Family with Kids,1,Lunch,Takeout,5.97,Yes,5,Social Aspect,Experimental,Low,"Affordable, delicious, and a true neighborhood gem."
44,Low,Couple,10,Late-night,Dine-in,45.62,Yes,7,Convenience,Comfort Food,Low,A perfect spot for a quiet meal and good conversation.
69,Low,Multigenerational,11,Dinner,Delivery,14.11,No,30,Taste,Locally Sourced,Low,Tried something new and absolutely loved it.
19,Low,Family with Kids,6,Lunch,Delivery,13.35,Yes,4,Convenience,Healthy,Medium,A perfect spot for a quiet meal and good conversation.
49,Medium,Family with Kids,9,Breakfast,Takeout,15.34,No,19,Tradition,Locally Sourced,Low,Great experience! Will definitely be coming back soon.
25,High,Single,3,Lunch,Delivery,14.92,No,30,Tradition,Experimental,High,Great experience! Will definitely be coming back soon.
66,Low,Multigenerational,9,Dinner,Delivery,31.4,No,33,Social Aspect,Comfort Food,High,"Not my usual spot, but I was pleasantly surprised."
43,High,Couple,6,Lunch,Dine-in,46.63,Yes,7,Tradition,Locally Sourced,High,"Affordable, delicious, and a true neighborhood gem."
55,High,Family with Kids,12,Breakfast,Takeout,43.56,No,4,Social Aspect,Experimental,Medium,The service was friendly and the food felt homemade.
62,Medium,Couple,9,Lunch,Takeout,35.39,No,34,Taste,Healthy,Medium,"The wait was a bit long, but the food made up for it."
60,High,Single,5,Dinner,Delivery,41.42,Yes,32,Taste,Healthy,High,Tried something new and absolutely loved it.
32,High,Single,5,Breakfast,Takeout,24.33,No,9,Convenience,Experimental,High,Felt like I was eating at a friend's house. So comforting.
64,High,Family with Kids,5,Breakfast,Takeout,13.5,No,7,Tradition,Healthy,Low,"The wait was a bit long, but the food made up for it."
63,Low,Multigenerational,4,Breakfast,Dine-in,9.29,Yes,21,Tradition,Experimental,Medium,The service was friendly and the food felt homemade.
63,Low,Single,5,Late-night,Dine-in,43.29,No,21,Convenience,Healthy,Medium,The service was friendly and the food felt homemade.
47,High,Single,12,Breakfast,Delivery,46.61,Yes,31,Tradition,Experimental,Low,The service was friendly and the food felt homemade.
25,Low,Single,5,Late-night,Delivery,28.86,Yes,38,Social Aspect,Comfort Food,Low,"The wait was a bit long, but the food made up for it."
66,High,Family with Kids,13,Breakfast,Delivery,35.89,Yes,35,Tradition,Comfort Food,High,The portions were generous and the flavors authentic.
35,Low,Family with Kids,7,Breakfast,Delivery,10.93,No,24,Tradition,Experimental,High,A perfect spot for a quiet meal and good conversation.
51,Low,Couple,1,Breakfast,Dine-in,14.35,Yes,10,Tradition,Locally Sourced,Low,Great experience! Will definitely be coming back soon.
32,Medium,Family with Kids,6,Breakfast,Takeout,43.03,Yes,7,Social Aspect,Experimental,High,The service was friendly and the food felt homemade.
50,Medium,Couple,1,Dinner,Takeout,42.35,Yes,28,Convenience,Experimental,High,The portions were generous and the flavors authentic.
37,Low,Couple,9,Breakfast,Takeout,58.8,No,7,Tradition,Healthy,Low,"The wait was a bit long, but the food made up for it."
58,High,Single,7,Lunch,Takeout,39.31,Yes,12,Tradition,Experimental,Low,The service was friendly and the food felt homemade.
20,High,Couple,1,Dinner,Delivery,19.03,No,28,Social Aspect,Comfort Food,Low,The service was friendly and the food felt homemade.
61,High,Family with Kids,12,Late-night,Dine-in,26.98,Yes,10,Social Aspect,Healthy,High,I loved the cozy atmosphere and the fresh ingredients.
56,High,Multigenerational,10,Breakfast,Dine-in,24.21,No,6,Social Aspect,Experimental,High,"The wait was a bit long, but the food made up for it."
32,Medium,Family with Kids,2,Dinner,Delivery,48.41,Yes,32,Taste,Comfort Food,High,Great experience! Will definitely be coming back soon.
18,Low,Couple,2,Breakfast,Dine-in,59.39,Yes,33,Tradition,Locally Sourced,Low,Tried something new and absolutely loved it.
44,Medium,Multigenerational,9,Dinner,Takeout,15.41,Yes,26,Tradition,Experimental,High,The service was friendly and the food felt homemade.
30,High,Single,7,Late-night,Delivery,38.69,No,7,Convenience,Healthy,Medium,The service was friendly and the food felt homemade.
26,Low,Multigenerational,5,Lunch,Dine-in,13.83,No,10,Social Aspect,Experimental,Low,"Affordable, delicious, and a true neighborhood gem."
40,Medium,Family with Kids,11,Dinner,Dine-in,43.29,Yes,34,Convenience,Healthy,Low,I loved the cozy atmosphere and the fresh ingredients.
51,High,Single,0,Dinner,Dine-in,21.78,No,11,Social Aspect,Locally Sourced,Low,"Not my usual spot, but I was pleasantly surprised."
52,High,Family with Kids,13,Late-night,Dine-in,46.77,No,38,Social Aspect,Healthy,High,"The wait was a bit long, but the food made up for it."
43,Medium,Couple,13,Late-night,Delivery,54.45,Yes,20,Taste,Comfort Food,High,"Affordable, delicious, and a true neighborhood gem."
69,Low,Single,7,Breakfast,Dine-in,16.42,Yes,2,Taste,Comfort Food,Medium,"Affordable, delicious, and a true neighborhood gem."
21,Low,Single,9,Lunch,Dine-in,59.14,No,17,Social Aspect,Experimental,Medium,I loved the cozy atmosphere and the fresh ingredients.
44,Medium,Family with Kids,4,Breakfast,Takeout,32.12,Yes,20,Taste,Comfort Food,Low,"Not my usual spot, but I was pleasantly surprised."
24,High,Family with Kids,5,Late-night,Dine-in,34.95,Yes,30,Tradition,Experimental,Low,"Affordable, delicious, and a true neighborhood gem."
69,Low,Multigenerational,7,Lunch,Dine-in,15.31,Yes,40,Tradition,Comfort Food,Low,I loved the cozy atmosphere and the fresh ingredients.
69,Medium,Couple,3,Late-night,Dine-in,27.71,Yes,39,Convenience,Healthy,Low,"Not my usual spot, but I was pleasantly surprised."
64,High,Couple,11,Lunch,Delivery,15.14,Yes,4,Taste,Experimental,Medium,Tried something new and absolutely loved it.
20,Low,Couple,7,Late-night,Delivery,45.01,No,20,Taste,Experimental,High,Great experience! Will definitely be coming back soon.
